"Part Number","Type","Status","Mounting Type","Capacitance","Voltage","Low Frequency Ripple Current","High Frequency Ripple Current","ESR @ 20°C/100kHz","Leakage Current","Temperature Range","Size","Life/Endurance","Vibration Resistant","AEC-Q200 Compliant","Packaging Type"
"UES1H470MPM","Aluminium","Mass Production","Radial Lead","47 µF","50 V","","","","70.5 µA","-40℃~85℃ °C","φ10x20L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1C470MPM","Aluminium","Mass Production","Radial Lead","47 µF","16 V","","","","22.56 µA","-40℃~85℃ °C","φ8x11.5L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1E470MPM","Aluminium","Mass Production","Radial Lead","47 µF","25 V","","","","35.25 µA","-40℃~85℃ °C","φ10x12.5L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1E102MHM","Aluminium","Mass Production","Radial Lead","1 mF","25 V","","","","750 µA","-40℃~85℃ °C","φ16x30.5L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1H100MPM","Aluminium","Mass Production","Radial Lead","10 µF","50 V","","","","15 µA","-40℃~85℃ °C","φ8x11.5L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1A102MHM","Aluminium","End Of Life","Radial Lead","1 mF","10 V","","","","300 µA","-40℃~85℃ °C","φ16x25L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1E4R7MDM","Aluminium","End Of Life","Radial Lead","4.7 µF","25 V","","","","3.525 µA","-40℃~85℃ °C","φ5x11L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1H3R3MDM","Aluminium","End Of Life","Radial Lead","3.3 µF","50 V","","","","4.95 µA","-40℃~85℃ °C","φ5x11L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1V470MPM","Aluminium","Mass Production","Radial Lead","47 µF","35 V","","","","49.35 µA","-40℃~85℃ °C","φ10x12.5L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES0J221MPM","Aluminium","End Of Life","Radial Lead","220 µF","6.3 V","","","","41.58 µA","-40℃~85℃ °C","φ10x12.5L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1C101MPM","Aluminium","Mass Production","Radial Lead","100 µF","16 V","","","","48 µA","-40℃~85℃ °C","φ10x12.5L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1H330MPM","Aluminium","Mass Production","Radial Lead","33 µF","50 V","","","","49.5 µA","-40℃~85℃ °C","φ10x16L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1A220MDM","Aluminium","End Of Life","Radial Lead","22 µF","10 V","","","","6.6 µA","-40℃~85℃ °C","φ5x11L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1A470MEM","Aluminium","End Of Life","Radial Lead","47 µF","10 V","","","","14.1 µA","-40℃~85℃ °C","φ6.3x11L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
